pool,pool_name,size_usd,range_pct,hold_hours,median_tick,tick_lower,tick_upper,L_position,median_L_event,L_position_over_median_L_event,events_total,events_in_range,in_range_pct,total_volume_usd,total_pool_fee_usd,fee_usd_r4c,fee_usd_r4b,fee_usd_r4_old,fee_ratio_r4c_vs_r4b,fee_ratio_r4c_vs_r4_old,median_share_r4c_pct,max_share_r4c_pct,median_share_r4b_pct,proxy_fee_usd,capture_ratio_r4c,capture_ratio_r4b,capture_ratio_r4_old,il_estimate_usd,gas_usd,net_pnl_r4c_usd,net_pnl_r4b_usd,net_pnl_r4_old_usd,signal_noise_r4c,signal_noise_r4b,apr_pct,daily_fee_gt_position_size_flag,apr_gt_1000pct_flag,any_share_gt_5pct_flag,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,6,-202107,-202595,-201619,12685499672637,1660945595056760833,0.000008,6183,6183,1.000000,15662207.190826,7831.103595,0.047447,38.368238,38.557148,0.001237,0.001231,0.000008,0.000008,0.004899,0.048132,0.985775,797.149225,801.074062,0.500000,0.079500,-0.532053,37.788738,37.977648,-1.810211,151.472953,277.091226,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,24,-202176,-202664,-201688,12729338032316,1721745301168755497,0.000007,28483,28483,1.000000,91732605.146300,45866.302573,0.299694,224.720463,225.826894,0.001334,0.001327,0.000007,0.000008,0.004899,0.192527,1.556630,1167.213763,1172.960645,2.000000,0.079500,-1.779806,222.640963,223.747394,-1.700306,222.720463,437.552862,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,1,-202111,-203065,-201157,6565907535330,1661382663512602173,0.000004,998,998,1.000000,2382080.079666,1191.040040,0.003673,1.570588,1.572662,0.002339,0.002335,0.000004,0.000004,0.001319,0.008022,0.457847,195.785835,196.044352,0.020833,0.079500,-0.096660,1.470255,1.472328,-1.647408,148.776438,128.696133,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,6,-202107,-203061,-201153,6564594550774,1660945595056760833,0.000004,6183,6183,1.000000,15662207.190826,7831.103595,0.024553,10.326636,10.340271,0.002378,0.002375,0.000004,0.000004,0.001319,0.048132,0.510128,214.549064,214.832357,0.125000,0.079500,-0.179947,10.122136,10.135771,-1.607146,163.226170,143.391846,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,24,-202176,-203130,-201222,6587280378253,1721745301168755497,0.000004,28483,28483,1.000000,91732605.146300,45866.302573,0.155088,60.482484,60.562345,0.002564,0.002561,0.000004,0.000004,0.001319,0.192527,0.805540,314.150240,314.565047,0.500000,0.079500,-0.424412,59.902984,59.982845,-1.379646,239.929934,226.429133,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,1,-202111,-203509,-200713,4530114285186,1661382663512602173,0.000003,998,998,1.000000,2382080.079666,1191.040040,0.002534,0.747174,0.747643,0.003392,0.003389,0.000003,0.000003,0.000627,0.008022,0.315890,93.140929,93.199396,0.009259,0.079500,-0.086225,0.658414,0.658883,-1.452644,159.389508,88.793327,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,6,-202107,-203505,-200709,4529208398214,1660945595056760833,0.000003,6183,6183,1.000000,15662207.190826,7831.103595,0.016941,4.912676,4.915760,0.003448,0.003446,0.000003,0.000003,0.000627,0.048132,0.351961,102.067135,102.131205,0.055556,0.079500,-0.118115,4.777621,4.780705,-1.390142,174.856348,98.932572,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,24,-202176,-203574,-200778,4544860368728,1721745301168755497,0.000003,28483,28483,1.000000,91732605.146300,45866.302573,0.107003,28.773250,28.791311,0.003719,0.003716,0.000003,0.000003,0.000627,0.192527,0.555779,149.450267,149.544080,0.222222,0.079500,-0.194720,28.471528,28.489589,-1.036977,256.959248,156.223794,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,1,-202111,-202599,-201623,25376073798853,1661382663512602173,0.000015,998,998,1.000000,2382080.079666,1191.040040,0.014195,11.614022,11.728387,0.001222,0.001210,0.000015,0.000016,0.009751,0.016044,0.884741,723.888463,731.016724,0.166667,0.079500,-0.231972,11.367855,11.482220,-1.829663,137.368259,248.691596,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,6,-202107,-202595,-201619,25370999345274,1660945595056760833,0.000015,6183,6183,1.000000,15662207.190826,7831.103595,0.094894,76.362342,77.114295,0.001243,0.001231,0.000015,0.000016,0.009751,0.096264,0.985768,793.262661,801.074062,1.000000,0.079500,-0.984606,75.282842,76.034795,-1.810213,150.724683,277.089440,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,24,-202176,-202664,-201688,25458676064633,1721745301168755497,0.000015,28483,28483,1.000000,91732605.146300,45866.302573,0.599383,447.249640,451.653788,0.001340,0.001327,0.000015,0.000017,0.009751,0.385055,1.556619,1161.522919,1172.960645,4.000000,0.079500,-3.480117,443.170140,447.574288,-1.700308,221.624820,437.549845,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,1,-202111,-203065,-201157,13131815070660,1661382663512602173,0.000008,998,998,1.000000,2382080.079666,1191.040040,0.007346,3.137039,3.145323,0.002342,0.002335,0.000008,0.000008,0.002634,0.016044,0.457846,195.527998,196.044352,0.041667,0.079500,-0.113821,3.015872,3.024157,-1.647409,148.577876,128.695713,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,6,-202107,-203061,-201153,13129189101548,1660945595056760833,0.000008,6183,6183,1.000000,15662207.190826,7831.103595,0.049107,20.626072,20.680542,0.002381,0.002375,0.000008,0.000008,0.002634,0.096264,0.510127,214.266517,214.832357,0.250000,0.079500,-0.280393,20.296572,20.351042,-1.607147,163.008578,143.391367,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,24,-202176,-203130,-201222,13174560756507,1721745301168755497,0.000008,28483,28483,1.000000,91732605.146300,45866.302573,0.310176,120.805664,121.124691,0.002568,0.002561,0.000008,0.000009,0.002634,0.385055,0.805537,313.736525,314.565047,1.000000,0.079500,-0.769324,119.726164,120.045191,-1.379648,239.611329,226.428325,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,15,1,-202111,-203509,-200713,9060228570373,1661382663512602173,0.000005,998,998,1.000000,2382080.079666,1191.040040,0.005068,1.493410,1.495285,0.003394,0.003389,0.000005,0.000006,0.001254,0.016044,0.315889,93.082536,93.199396,0.018519,0.079500,-0.092950,1.395392,1.397267,-1.452645,159.288327,88.793128,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,15,6,-202107,-203505,-200709,9058416796429,1660945595056760833,0.000005,6183,6183,1.000000,15662207.190826,7831.103595,0.033881,9.819193,9.831520,0.003450,0.003446,0.000005,0.000006,0.001254,0.096264,0.351960,102.003145,102.131205,0.111111,0.079500,-0.156730,9.628582,9.640909,-1.390143,174.745471,98.932344,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,15,24,-202176,-203574,-200778,9089720737456,1721745301168755497,0.000005,28483,28483,1.000000,91732605.146300,45866.302573,0.214005,57.510422,57.582623,0.003721,0.003716,0.000005,0.000006,0.001254,0.385055,0.555778,149.356571,149.544080,0.444444,0.079500,-0.309940,56.986477,57.058678,-1.036979,256.796897,156.223409,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,5,1,-202111,-202599,-201623,5075214759770,668452969946646408,0.000008,1855,1855,1.000000,879203.640516,87.920364,0.000676,0.383380,0.385059,0.001764,0.001757,0.000008,0.000009,0.004361,0.000515,1.314147,744.898810,748.161195,0.033333,0.079500,-0.112157,0.270547,0.272226,-1.959419,21.002798,59.248874,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,5,6,-202106,-202594,-201618,5073946178088,664854445096121694,0.000008,13431,13431,1.000000,5728953.128682,572.895313,0.004540,2.498131,2.509072,0.001817,0.001809,0.000008,0.000012,0.004361,0.003088,1.470210,808.968892,812.511880,0.200000,0.079500,-0.274960,2.218631,2.229572,-1.954599,22.981310,66.285043,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,5,24,-202180,-202668,-201692,5092753610886,582369633977537873,0.000009,80378,80378,1.000000,45150575.931307,4515.057593,0.036216,19.688074,19.774301,0.001839,0.001831,0.000009,0.000015,0.004361,0.012352,2.931939,1593.895541,1600.876221,0.800000,0.079500,-0.843284,18.808574,18.894801,-1.909460,47.220185,132.187735,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,10,1,-202111,-203065,-201157,2626363014132,668452969946646408,0.000004,1855,1855,1.000000,879203.640516,87.920364,0.000350,0.103144,0.103265,0.003393,0.003389,0.000004,0.000005,0.001173,0.000515,0.680058,200.406779,200.642163,0.008333,0.079500,-0.087483,0.015311,0.015432,-1.915998,22.754593,30.660698,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,10,6,-202106,-203060,-201152,2625706538264,664854445096121694,0.000004,13431,13431,1.000000,5728953.128682,572.895313,0.002349,0.672094,0.672884,0.003496,0.003492,0.000004,0.000006,0.001173,0.003088,0.760819,217.644126,217.899756,0.050000,0.079500,-0.127151,0.542594,0.543384,-1.906022,24.883780,34.301850,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,10,24,-202180,-203134,-201226,2635439160080,582369633977537873,0.000005,80378,80378,1.000000,45150575.931307,4515.057593,0.018741,5.296858,5.303080,0.003538,0.003534,0.000005,0.000008,0.001173,0.012352,1.517250,428.819952,429.323614,0.200000,0.079500,-0.260759,5.017358,5.023580,-1.812587,50.968584,68.405862,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,1,-202111,-203509,-200713,1812045714074,668452969946646408,0.000003,1855,1855,1.000000,879203.640516,87.920364,0.000241,0.049065,0.049092,0.004922,0.004919,0.000003,0.000003,0.000558,0.000515,0.469203,95.331962,95.385193,0.003704,0.079500,-0.082962,-0.034139,-0.034111,-1.869597,24.495031,21.154218,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,6,-202106,-203504,-200708,1811592781911,664854445096121694,0.000003,13431,13431,1.000000,5728953.128682,572.895313,0.001621,0.319710,0.319889,0.005070,0.005067,0.000003,0.000004,0.000558,0.003088,0.524924,103.531635,103.589445,0.022222,0.079500,-0.100101,0.217988,0.218166,-1.854111,26.773916,23.666416,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,15,24,-202180,-203578,-200782,1818307754500,582369633977537873,0.000003,80378,80378,1.000000,45150575.931307,4515.057593,0.012931,2.519675,2.521082,0.005132,0.005129,0.000003,0.000005,0.000558,0.012352,1.046820,203.986351,204.100251,0.088889,0.079500,-0.155458,2.351286,2.352693,-1.709064,54.692683,47.196340,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,1,-202111,-202599,-201623,12688036899426,668452969946646408,0.000019,1855,1855,1.000000,879203.640516,87.920364,0.001691,0.952222,0.962648,0.001776,0.001756,0.000019,0.000023,0.010831,0.001287,1.314132,740.058234,748.161195,0.083333,0.079500,-0.161142,0.789388,0.799814,-1.959419,20.853319,59.248189,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,6,-202106,-202594,-201618,12684865445220,664854445096121694,0.000019,13431,13431,1.000000,5728953.128682,572.895313,0.011350,6.204744,6.272680,0.001829,0.001809,0.000019,0.000030,0.010831,0.007720,1.470192,803.711969,812.511880,0.500000,0.079500,-0.568150,5.625244,5.693180,-1.954600,22.818974,66.284251,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,5,24,-202180,-202668,-201692,12731884027216,582369633977537873,0.000022,80378,80378,1.000000,45150575.931307,4515.057593,0.090538,48.900338,49.435752,0.001851,0.001831,0.000022,0.000037,0.010831,0.030880,2.931901,1583.537929,1600.876221,2.000000,0.079500,-1.988962,46.820838,47.356252,-1.909462,46.900338,132.186005,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,1,-202111,-203065,-201157,6565907535330,668452969946646408,0.000010,1855,1855,1.000000,879203.640516,87.920364,0.000875,0.257407,0.258163,0.003399,0.003389,0.000010,0.000012,0.002928,0.001287,0.680054,200.054737,200.642163,0.020833,0.079500,-0.099458,0.157074,0.157830,-1.915999,22.711108,30.660515,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,6,-202106,-203060,-201152,6564266345661,664854445096121694,0.000010,13431,13431,1.000000,5728953.128682,572.895313,0.005874,1.677285,1.682210,0.003502,0.003492,0.000010,0.000015,0.002928,0.007720,0.760814,217.261803,217.899756,0.125000,0.079500,-0.198626,1.472785,1.477710,-1.906023,24.836555,34.301638,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,10,24,-202180,-203134,-201226,6588597900202,582369633977537873,0.000011,80378,80378,1.000000,45150575.931307,4515.057593,0.046853,13.218884,13.257699,0.003544,0.003534,0.000011,0.000019,0.002928,0.030880,1.517239,428.066669,429.323614,0.500000,0.079500,-0.532647,12.639384,12.678199,-1.812588,50.875537,68.405399,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,1,-202111,-203509,-200713,4530114285186,668452969946646408,0.000007,1855,1855,1.000000,879203.640516,87.920364,0.000604,0.122560,0.122731,0.004926,0.004919,0.000007,0.000008,0.001394,0.001287,0.469201,95.252228,95.385193,0.009259,0.079500,-0.088156,0.033800,0.033971,-1.869598,24.472871,21.154131,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,6,-202106,-203504,-200708,4528981954778,664854445096121694,0.000007,13431,13431,1.000000,5728953.128682,572.895313,0.004052,0.798607,0.799722,0.005074,0.005067,0.000007,0.000011,0.001394,0.007720,0.524922,103.445043,103.589445,0.055556,0.079500,-0.131003,0.663551,0.664666,-1.854112,26.749850,23.666315,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,25,15,24,-202180,-203578,-200782,4545769386250,582369633977537873,0.000008,80378,80378,1.000000,45150575.931307,4515.057593,0.032326,6.293918,6.302704,0.005136,0.005129,0.000008,0.000013,0.001394,0.030880,1.046815,203.815738,204.100251,0.222222,0.079500,-0.269396,5.992196,6.000982,-1.709065,54.645265,47.196120,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,1,-202111,-202599,-201623,25376073798853,668452969946646408,0.000038,1855,1855,1.000000,879203.640516,87.920364,0.003382,1.884038,1.925295,0.001795,0.001756,0.000038,0.000046,0.021429,0.002573,1.314106,732.128911,748.161195,0.166667,0.079500,-0.242785,1.637872,1.679129,-1.959420,20.608458,59.247047,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,6,-202106,-202594,-201618,25369730890440,664854445096121694,0.000038,13431,13431,1.000000,5728953.128682,572.895313,0.022700,12.276526,12.545360,0.001849,0.001809,0.000038,0.000060,0.021429,0.015440,1.470163,795.100630,812.511880,1.000000,0.079500,-1.056800,11.197026,11.465860,-1.954601,22.553052,66.282931,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,5,24,-202180,-202668,-201692,25463768054432,582369633977537873,0.000044,80378,80378,1.000000,45150575.931307,4515.057593,0.181073,96.752794,98.871504,0.001871,0.001831,0.000044,0.000074,0.021429,0.061761,2.931837,1566.571177,1600.876221,4.000000,0.079500,-3.898427,92.673294,94.792004,-1.909464,46.376397,132.183121,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,1,-202111,-203065,-201157,13131815070660,668452969946646408,0.000020,1855,1855,1.000000,879203.640516,87.920364,0.001750,0.513312,0.516326,0.003409,0.003389,0.000020,0.000024,0.005838,0.002573,0.680047,199.470740,200.642163,0.041667,0.079500,-0.119417,0.392145,0.395160,-1.915999,22.638972,30.660209,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,6,-202106,-203060,-201152,13128532691323,664854445096121694,0.000020,13431,13431,1.000000,5728953.128682,572.895313,0.011747,3.344777,3.364419,0.003512,0.003492,0.000020,0.000031,0.005838,0.015440,0.760806,216.627575,217.899756,0.250000,0.079500,-0.317753,3.015277,3.034919,-1.906024,24.758214,34.301284,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,10,24,-202180,-203134,-201226,13177195800404,582369633977537873,0.000023,80378,80378,1.000000,45150575.931307,4515.057593,0.093705,26.360592,26.515399,0.003555,0.003534,0.000023,0.000038,0.005838,0.061761,1.517222,426.817063,429.323614,1.000000,0.079500,-0.985795,25.281092,25.435899,-1.812590,50.721184,68.404626,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,1,-202111,-203509,-200713,9060228570373,668452969946646408,0.000014,1855,1855,1.000000,879203.640516,87.920364,0.001207,0.244778,0.245461,0.004933,0.004919,0.000014,0.000016,0.002784,0.002573,0.469198,95.119632,95.385193,0.018519,0.079500,-0.096811,0.146759,0.147443,-1.869599,24.436019,21.153985,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,6,-202106,-203504,-200708,9057963909556,664854445096121694,0.000014,13431,13431,1.000000,5728953.128682,572.895313,0.008105,1.594990,1.599443,0.005081,0.005067,0.000014,0.000021,0.002784,0.015440,0.524918,103.301043,103.589445,0.111111,0.079500,-0.182506,1.404379,1.408832,-1.854113,26.709829,23.666147,false,false,false,NO_GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,50,15,24,-202180,-203578,-200782,9091538772501,582369633977537873,0.000016,80378,80378,1.000000,45150575.931307,4515.057593,0.064652,12.570314,12.605408,0.005143,0.005129,0.000016,0.000026,0.002784,0.061761,1.046807,203.532018,204.100251,0.444444,0.079500,-0.459293,12.046369,12.081464,-1.709067,54.566413,47.195752,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,1,-202113,-202601,-201625,5075722281246,139571851221531052,0.000036,170,170,1.000000,45949.782564,22.974891,0.000830,0.297608,0.301513,0.002790,0.002754,0.000036,0.000037,0.012954,0.000927,0.895363,320.918654,325.130263,0.033333,0.079500,-0.112003,0.184774,0.188680,-1.950181,15.856460,72.736468,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,6,-202104,-202592,-201616,5073438834204,138597138628001363,0.000037,981,981,1.000000,288545.157142,144.272579,0.005389,1.868850,1.893376,0.002884,0.002846,0.000037,0.000040,0.012954,0.005564,0.968605,335.872186,340.280039,0.200000,0.079500,-0.274111,1.589350,1.613876,-1.946105,16.688500,78.686413,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,5,24,-202193,-202681,-201705,5096064811199,137739741667214106,0.000037,6819,6819,1.000000,2752167.376228,1376.083688,0.042588,17.825245,18.059176,0.002389,0.002358,0.000037,0.000049,0.012954,0.022257,1.913508,800.894114,811.404731,0.800000,0.079500,-0.836912,16.945745,17.179676,-1.893529,42.563111,155.447452,false,false,false,NO_GO
