ts_iso,iteration,chain_id,block_number,wallet_eth_wei,usdc_balance_raw,weth_balance_raw,usdc_allowance_raw,weth_allowance_raw,current_tick,drift_ticks,proposed_tick_lower,proposed_tick_upper,current_tick_inside_new_range,fresh_approval_required,any_stop_condition_active,gas_price_wei,market_safe_for_execution_candidate
2026-06-03T00:50:35Z,31,8453,46829250,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201001,-558,-201201,-200801,True,True,True,6000000,False
2026-06-03T01:00:51Z,32,8453,46829559,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201020,-577,-201220,-200820,True,True,True,6000000,False
2026-06-03T01:11:08Z,33,8453,46829866,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201053,-610,-201253,-200853,True,True,True,6000000,False
2026-06-03T01:21:20Z,34,8453,46830166,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201025,-582,-201225,-200825,True,True,True,6000000,False
2026-06-03T01:31:22Z,35,8453,46830473,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201001,-558,-201201,-200801,True,True,True,6000000,False
2026-06-03T01:41:35Z,36,8453,46830780,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201074,-631,-201274,-200874,True,True,True,6000000,False
2026-06-03T01:51:49Z,37,8453,46831087,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201042,-599,-201242,-200842,True,True,True,6000000,False
2026-06-03T02:02:05Z,38,8453,46831395,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201058,-615,-201258,-200858,True,True,True,6000000,False
2026-06-03T02:12:19Z,39,8453,46831702,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201039,-596,-201239,-200839,True,True,True,6000000,False
2026-06-03T02:22:32Z,40,8453,46832008,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201074,-631,-201274,-200874,True,True,True,6000000,False
2026-06-03T02:32:45Z,41,8453,46832309,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201081,-638,-201281,-200881,True,True,True,6000000,False
2026-06-03T02:42:49Z,42,8453,46832616,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201061,-618,-201261,-200861,True,True,True,6000000,False
2026-06-03T02:53:03Z,43,8453,46832923,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201072,-629,-201272,-200872,True,True,True,6000000,False
2026-06-03T03:03:16Z,44,8453,46833230,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201073,-630,-201273,-200873,True,True,True,6000000,False
2026-06-03T03:13:30Z,45,8453,46833532,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201116,-673,-201316,-200916,True,True,True,6000000,False
2026-06-03T03:23:33Z,46,8453,46833854,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201102,-659,-201302,-200902,True,True,True,6000000,False
2026-06-03T03:34:19Z,47,8453,46834161,90470751043807,21774783,2470131003793800,5000000,2470131003793800,-201165,-722,-201365,-200965,True,True,True,13455641,False
