pool_id,virtual_notional_usd,prior_slippage_pct,precise_slippage_pct,prior_capacity_pass,precise_capacity_pass,prior_confidence,precise_confidence,delta_slippage,delta_capacity,direction
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,100,0.0,,True,no,high,low,,worse,unknown
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,500,0.0,,True,no,high,low,,worse,unknown
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,1000,0.0,,True,no,medium,low,,worse,unknown
0x7ec6c9d993d9832aa654593f2dbc21303650bc6c,2000,0.0,,True,no,medium,low,,worse,unknown
0x81a9b5f18179ce2bf8f001b8a634db80771f1824,20,,0.0,no,yes,,low,,improved,unknown
0x81a9b5f18179ce2bf8f001b8a634db80771f1824,100,,0.0,no,yes,,low,,improved,unknown
0x81a9b5f18179ce2bf8f001b8a634db80771f1824,500,,0.0,no,yes,,low,,improved,unknown
0x81a9b5f18179ce2bf8f001b8a634db80771f1824,1000,,0.0,no,yes,,low,,improved,unknown
0x81a9b5f18179ce2bf8f001b8a634db80771f1824,2000,,0.0,no,yes,,low,,improved,unknown
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,20,100.0,,True,no,medium,low,,worse,unknown
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,100,100.0,,True,no,medium,low,,worse,unknown
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,500,100.0,,True,no,low,low,,worse,unknown
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,1000,100.0,,True,no,low,low,,worse,unknown
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,2000,100.0,,True,no,low,low,,worse,unknown
0x9a993fc0eec60faaa0c391ff11b840ce16685150,20,,,False,no,low,low,,same,unknown
0x9a993fc0eec60faaa0c391ff11b840ce16685150,100,,,False,no,low,low,,same,unknown
0x9a993fc0eec60faaa0c391ff11b840ce16685150,500,,,False,no,low,low,,same,unknown
0x9a993fc0eec60faaa0c391ff11b840ce16685150,1000,,,False,no,low,low,,same,unknown
0x9a993fc0eec60faaa0c391ff11b840ce16685150,2000,,,False,no,low,low,,same,unknown
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,20,6.9281631171848146e-15,,True,no,medium,low,,worse,unknown
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,100,9.832041436383485e-16,,True,no,medium,low,,worse,unknown
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,500,1.9044887391643907e-16,,True,no,low,low,,worse,unknown
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,1000,1.9037831897965356e-16,,True,no,low,low,,worse,unknown
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,2000,9.12839102644149e-17,,True,no,low,low,,worse,unknown
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,20,,,False,no,low,low,,same,unknown
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,100,,,False,no,low,low,,same,unknown
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,500,,,False,no,low,low,,same,unknown
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,1000,,,False,no,low,low,,same,unknown
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,2000,,,False,no,low,low,,same,unknown
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,20,0.0,,True,no,high,low,,worse,unknown
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,100,0.0,,True,no,high,low,,worse,unknown
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,500,0.0,,True,no,high,low,,worse,unknown
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1000,0.0,,True,no,medium,low,,worse,unknown
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2000,0.0,,True,no,medium,low,,worse,unknown
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,20,99.99980928203975,,True,no,high,low,,worse,unknown
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,100,99.99980945582723,,True,no,high,low,,worse,unknown
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,500,99.99981033717799,,True,no,high,low,,worse,unknown
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,1000,99.9998114295564,,True,no,medium,low,,worse,unknown
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,2000,99.99981359452076,,True,no,medium,low,,worse,unknown
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,20,99.99980937858835,,True,no,high,low,,worse,unknown
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,100,99.99980938686394,,True,no,high,low,,worse,unknown
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,500,99.99980944755164,,True,no,high,low,,worse,unknown
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,1000,99.99980952382502,,True,no,medium,low,,worse,unknown
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,2000,99.99980967623388,,True,no,medium,low,,worse,unknown
0xc721deccd986d54b39e8c29428a1f06155c3671e,20,,0.0,no,yes,,low,,improved,unknown
0xc721deccd986d54b39e8c29428a1f06155c3671e,100,,0.0,no,yes,,low,,improved,unknown
0xc721deccd986d54b39e8c29428a1f06155c3671e,500,,0.0,no,yes,,low,,improved,unknown
0xc721deccd986d54b39e8c29428a1f06155c3671e,1000,,0.0,no,yes,,low,,improved,unknown
0xc721deccd986d54b39e8c29428a1f06155c3671e,2000,,0.0,no,yes,,low,,improved,unknown
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,20,,,False,no,low,low,,same,unknown
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,100,,,False,no,low,low,,same,unknown
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,500,,,False,no,low,low,,same,unknown
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,1000,,,False,no,low,low,,same,unknown
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,2000,,,False,no,low,low,,same,unknown
0xd0b53d9277642d899df5c87a3966a349a798f224,20,82.80255,,True,no,high,low,,worse,unknown
0xd0b53d9277642d899df5c87a3966a349a798f224,100,96.146912,,True,no,high,low,,worse,unknown
0xd0b53d9277642d899df5c87a3966a349a798f224,500,99.2104546,,True,no,high,low,,worse,unknown
0xd0b53d9277642d899df5c87a3966a349a798f224,1000,99.6040124,,True,no,medium,low,,worse,unknown
0xd0b53d9277642d899df5c87a3966a349a798f224,2000,99.80170115,,True,no,medium,low,,worse,unknown
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,20,,,False,no,low,low,,same,unknown
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,100,,,False,no,low,low,,same,unknown
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,500,,,False,no,low,low,,same,unknown
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,1000,,,False,no,low,low,,same,unknown
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,2000,,,False,no,low,low,,same,unknown
0xf2688fb5b81049dfb7703ada5e770543770612c4,20,,0.0,no,yes,,low,,improved,unknown
0xf2688fb5b81049dfb7703ada5e770543770612c4,100,,0.0,no,yes,,low,,improved,unknown
0xf2688fb5b81049dfb7703ada5e770543770612c4,500,,0.0,no,yes,,low,,improved,unknown
0xf2688fb5b81049dfb7703ada5e770543770612c4,1000,,0.0,no,yes,,low,,improved,unknown
0xf2688fb5b81049dfb7703ada5e770543770612c4,2000,,0.0,no,yes,,low,,improved,unknown
