chain,protocol,token_a,token_b,token_a_address,token_b_address,fee_tier,fee_tier_percent,ready_for_getpool
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,100,0.01%,yes
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,500,0.05%,yes
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,3000,0.30%,yes
Optimism,Uniswap V3,WETH,DAI,0x4200000000000000000000000000000000000006,0xdA10009Cbd5d07Dd0CeCC66161FC93D7c900205a,10000,1%,yes
Base,PancakeSwap V3,WBNB,USDT,,,100,0.01%,no
Base,PancakeSwap V3,WBNB,USDT,,,500,0.05%,no
Base,PancakeSwap V3,WBNB,USDT,,,2500,0.25%,no
Base,PancakeSwap V3,WBNB,USDT,,,10000,1%,no
Base,PancakeSwap V3,WBNB,USDC,,,100,0.01%,no
Base,PancakeSwap V3,WBNB,USDC,,,500,0.05%,no
Base,PancakeSwap V3,WBNB,USDC,,,2500,0.25%,no
Base,PancakeSwap V3,WBNB,USDC,,,10000,1%,no
Base,PancakeSwap V3,ETH,WBNB,,,100,0.01%,no
Base,PancakeSwap V3,ETH,WBNB,,,500,0.05%,no
Base,PancakeSwap V3,ETH,WBNB,,,2500,0.25%,no
Base,PancakeSwap V3,ETH,WBNB,,,10000,1%,no
Base,PancakeSwap V3,BTCB,WETH,,0x4200000000000000000000000000000000000006,100,0.01%,no
Base,PancakeSwap V3,BTCB,WETH,,0x4200000000000000000000000000000000000006,500,0.05%,no
Base,PancakeSwap V3,BTCB,WETH,,0x4200000000000000000000000000000000000006,2500,0.25%,no
Base,PancakeSwap V3,BTCB,WETH,,0x4200000000000000000000000000000000000006,10000,1%,no
Base,PancakeSwap V3,USDC,DAI,,,100,0.01%,no
Base,PancakeSwap V3,USDC,DAI,,,500,0.05%,no
Base,PancakeSwap V3,USDC,DAI,,,2500,0.25%,no
Base,PancakeSwap V3,USDC,DAI,,,10000,1%,no
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100,0.01%,yes
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,500,0.05%,yes
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3000,0.30%,yes
Ethereum,Uniswap V3,WETH,USDC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,10000,1%,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,100,0.01%,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,500,0.05%,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,3000,0.30%,yes
Ethereum,Uniswap V3,WETH,USDT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdAC17F958D2ee523a2206206994597C13D831ec7,10000,1%,yes
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,100,0.01%,yes
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,500,0.05%,yes
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,3000,0.30%,yes
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,10000,1%,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100,0.01%,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,500,0.05%,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3000,0.30%,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,10000,1%,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,100,0.01%,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,500,0.05%,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,3000,0.30%,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,10000,1%,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,100,0.01%,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,500,0.05%,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,3000,0.30%,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,10000,1%,yes
