chain,protocol,token_a,token_b,token_a_address,token_b_address,fee_tier,pool_address,pool_exists,getpool_success,invalid_reason,ready_for_getpool
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,100,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,500,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,3000,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,USDC,USDT,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xdAC17F958D2ee523a2206206994597C13D831ec7,10000,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,500,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3000,,no,no,chain_rpc_not_ready,yes
Ethereum,Uniswap V3,WBTC,USDC,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,10000,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,100,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,500,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,3000,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,USDC,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,10000,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,100,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,500,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,3000,,no,no,chain_rpc_not_ready,yes
Polygon,Uniswap V3,WETH,DAI,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8F3cF7Ad23Cd3CadBd9735AFF7580230Aa72F4f1,10000,,no,no,chain_rpc_not_ready,yes
